MIGPUMA,TOT_JOBS,JOBS_AGE_29,JOBS_AGE_30_54,JOBS_AGE_55,JOBS_EARN_1250,JOBS_EARN_1251_3333,JOBS_EARN_3334,AGR,EXT,UTL,CON,MFG,WHL,RET,TRN,INF,FIN,REL,PRF,MNG,ADM,EDU,MED,ENT,FOD,SRV,PUB,JOBS_EDU_NOHS,JOBS_EDU_HS,JOBS_EDU_NOBACH,JOBS_EDU_BACH
1300300,38138,9955,19847,8336,11479,14854,11805,505,13,147,1967,4165,670,4638,1627,328,729,467,1346,59,1930,6884,5043,204,4072,1009,2335,3825,8981,8849,6528
1300400,148212,37588,80150,30474,40404,51770,56038,64,6,290,6517,13711,6846,17126,10930,2291,3034,2103,5016,998,13874,10794,19892,2170,21572,4734,6244,15775,33833,35930,25086
1300500,51430,12155,28451,10824,14224,23219,13987,2337,19,329,2163,8480,2351,5919,3040,488,1088,238,789,304,2707,5424,7043,295,4158,1251,3007,6285,13334,12421,7235
1300600,48609,13623,25317,9669,15244,19900,13465,282,62,121,2400,4245,1199,6513,2964,1837,957,819,1519,205,2797,4877,7824,934,6201,1084,1769,5329,11256,11535,6866
1300700,39007,8928,21238,8841,11683,16841,10483,1805,135,240,1282,4857,2291,4920,1637,295,926,291,680,140,2187,5051,5162,108,3906,856,2238,4760,10063,9640,5616
1300800,39360,8970,21580,8810,10628,17552,11180,1765,283,172,1157,5670,1609,4468,502,190,1331,269,739,19,3748,4236,6766,194,2962,1223,2057,4869,9822,9689,6010
1300900,51630,11560,28758,11312,14157,21144,16329,596,0,44,2658,3490,2088,6194,1548,868,1068,562,2385,269,5528,5403,8990,337,4954,1946,2702,5970,12812,13464,7824
1301090,1223082,255522,724753,242807,231580,339894,651608,250,514,4247,28157,42977,58813,100492,89094,76926,71726,27388,127470,32403,108128,87097,144545,18672,108000,33959,62224,109118,230590,292303,335549
1301100,32160,5932,17787,8441,7932,15416,8812,2348,50,206,885,5281,2045,3765,1080,163,982,303,834,115,577,4096,4183,73,1800,652,2722,4120,9155,8195,4758
1301200,47780,10799,26160,10821,12680,21295,13805,2307,0,1486,2127,8261,2003,5677,1501,275,1121,150,757,426,2542,4582,6222,146,3390,901,3906,5750,12554,11612,7065
1301300,39793,8369,22086,9338,11563,16634,11596,570,42,159,1691,4739,1016,5113,1051,335,1088,199,683,579,1935,4737,8578,187,3224,671,3196,4660,10289,10271,6204
