,GISMATCH,GISJOIN,GEOID,STATEFIP,State,PUMA,Name,center,type,CBSA_name
587,4802501,G48002501,4802501,48,Texas,02501,"Tarrant County (Northeast)--Grapevine, Southlake & Colleyville Cities PUMA",POINT (-102742.8882457645 -511221.4509471089),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
588,4802514,G48002514,4802514,48,Texas,02514,Tarrant County (Southwest)--Fort Worth (Southwest) & Benbrook Cities PUMA,POINT (-137072.2028346353 -541870.1262207889),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
589,4802509,G48002509,4802509,48,Texas,02509,Fort Worth (Northeast) & Hurst (South) Cities--North of I-30 PUMA,POINT (-112078.0771017489 -525120.5766225436),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
590,4802502,G48002502,4802502,48,Texas,02502,Tarrant County (East)--Euless (South & West) & Arlington (North) Cities PUMA,POINT (-101227.7767421827 -524042.2767980333),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
591,4802506,G48002506,4802506,48,Texas,02506,Tarrant County (South Central)--Fort Worth City (Southeast)--South of I-20 PUMA,POINT (-119005.8424349381 -546925.2129541989),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
592,4802513,G48002513,4802513,48,Texas,02513,Fort Worth City (South Central) & Edgecliff Village Town PUMA,POINT (-126516.2260420108 -538109.619515212),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
593,4802508,G48002508,4802508,48,Texas,02508,"Fort Worth City (East Central)--South of I-30, East of I-35W & Inside Loop I-820 PUMA",POINT (-118825.9137350744 -534958.5757459127),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
594,4802507,G48002507,4802507,48,Texas,02507,Tarrant County (East)--Arlington City (West)--South of I-30 & East of Loop I-820 PUMA,POINT (-109973.2357171857 -534657.0005265267),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
595,4802503,G48002503,4802503,48,Texas,02503,Tarrant County (East)--Arlington (East) & Grand Prairie (West Central) Cities PUMA,POINT (-100758.8368150332 -534204.1806994713),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
596,4802505,G48002505,4802505,48,Texas,02505,Tarrant County (Southeast)--Mansfield (North) & Arlington (Southwest) Cities PUMA,POINT (-105069.9817852922 -547524.9305093107),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
597,4802504,G48002504,4802504,48,Texas,02504,Tarrant County (Southeast)--Arlington (Southeast) & Grand Prairie (Southwest) Cities PUMA,POINT (-101295.0658086077 -543107.6583269648),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
598,4805204,G48005204,4805204,48,Texas,05204,Capital Area COG--Williamson County (West)--Cedar Park & Leander Cities PUMA,POINT (-175698.4483182093 -767037.5888601915),T34,"Austin-Round Rock, TX Metro Area"
599,4805201,G48005201,4805201,48,Texas,05201,Capital Area COG--Williamson County (North)--Georgetown (East) & Taylor Cities PUMA,POINT (-146951.8197764658 -761844.2009838235),T34,"Austin-Round Rock, TX Metro Area"
600,4805203,G48005203,4805203,48,Texas,05203,"Williamson County (South)--Austin City (Far North), Brushy Creek & Jollyville PUMA",POINT (-168283.366561417 -781359.7918605922),T34,"Austin-Round Rock, TX Metro Area"
601,4805202,G48005202,4805202,48,Texas,05202,Capital Area COG--Williamson County (Southeast)--Round Rock City PUMA,POINT (-158624.2786355065 -776704.552692407),T34,"Austin-Round Rock, TX Metro Area"
602,4804803,G48004803,4804803,48,Texas,04803,Houston-Galveston Area Council--Brazoria County (Southwest)--Lake Jackson City PUMA,POINT (41475.26997924305 -939309.372201956),T34,"Houston-The Woodlands-Sugar Land, TX Metro Area"
603,4804802,G48004802,4804802,48,Texas,04802,Houston-Galveston Area Council--Brazoria County (Central)--Alvin City PUMA,POINT (65476.48118443926 -916078.6154165472),T34,"Houston-The Woodlands-Sugar Land, TX Metro Area"
604,4804801,G48004801,4804801,48,Texas,04801,Houston-Galveston Area Council--Brazoria County (North)--Pearland City PUMA,POINT (63276.72548171599 -886877.0601154814),T34,"Houston-The Woodlands-Sugar Land, TX Metro Area"
605,4800502,G48000502,4800502,48,Texas,00502,South Plains Association of Governments--Lubbock County--Lubbock City (Outer) PUMA,POINT (-535841.5453603265 -418804.9288851072),Metro,"Lubbock, TX Metro Area"
606,4800501,G48000501,4800501,48,Texas,00501,South Plains Association of Governments--Lubbock County--Lubbock City (Central) PUMA,POINT (-542390.8853461831 -423527.8283562218),Metro,"Lubbock, TX Metro Area"
607,4800700,G48000700,4800700,48,Texas,00700,North Texas Regional Planning Commission--Wichita County--Wichita Falls City PUMA,POINT (-247904.9493468037 -389625.6308503153),Metro,"Wichita Falls, TX Metro Area"
608,4806100,G48006100,4806100,48,Texas,06100,Alamo Area COG (Southwest) PUMA,POINT (-289491.0907983463 -924159.7020730857),T34,"San Antonio-New Braunfels, TX Metro Area"
609,4803502,G48003502,4803502,48,Texas,03502,"Central Texas COG--Bell County (North, East & South)--Temple & Belton Cities PUMA",POINT (-139283.4207088484 -721328.1331050643),Metro,"Killeen-Temple, TX Metro Area"
610,4803501,G48003501,4803501,48,Texas,03501,Central Texas COG--Bell County (West)--Killeen & Harker Heights Cities PUMA,POINT (-163177.6491457176 -716251.0394297375),Metro,"Killeen-Temple, TX Metro Area"
611,4802400,G48002400,4802400,48,Texas,02400,Parker County PUMA,POINT (-168099.0352638672 -526714.5377304129),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
612,4804501,G48004501,4804501,48,Texas,04501,Houston-Galveston Area Council--Montgomery County (Northeast)--Conroe City (East) PUMA,POINT (51963.70610258088 -795358.7564938857),T34,"Houston-The Woodlands-Sugar Land, TX Metro Area"
613,4804504,G48004504,4804504,48,Texas,04504,Houston-Galveston Area Council--Montgomery County (Southeast) PUMA,POINT (70573.96360995638 -822244.6599542528),T34,"Houston-The Woodlands-Sugar Land, TX Metro Area"
614,4804502,G48004502,4804502,48,Texas,04502,Houston-Galveston Area Council--Montgomery County (West)--Conroe City (West) PUMA,POINT (32549.91018367371 -806624.2809198425),T34,"Houston-The Woodlands-Sugar Land, TX Metro Area"
615,4804503,G48004503,4804503,48,Texas,04503,Houston-Galveston Area Council--Montgomery County (South)--The Woodlands (North) PUMA,POINT (47186.66054718055 -817602.5279858296),T34,"Houston-The Woodlands-Sugar Land, TX Metro Area"
616,4802301,G48002301,4802301,48,Texas,02301,Dallas County (Northeast)--Rowlett & Garland (Northeast) Cities PUMA,POINT (-52658.14754013768 -511633.1929570562),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
617,4802308,G48002308,4802308,48,Texas,02308,Dallas County (Northeast)--Garland (Northwest) & Richardson (East) Cities PUMA,POINT (-61185.20361784776 -508802.9338182887),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
618,4802322,G48002322,4802322,48,Texas,02322,"Dallas County (Northwest)--Irving (North), Coppell & Carrollton (Southwest) Cities PUMA",POINT (-89024.50561726946 -509215.2074558305),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
619,4802303,G48002303,4802303,48,Texas,02303,Dallas County (East)--Mesquite City (Central & Southeast) PUMA,POINT (-52864.5275045666 -527991.3000488156),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
620,4802304,G48002304,4802304,48,Texas,02304,Dallas County (Southeast)--Dallas City (Southeast) PUMA,POINT (-60566.63553551823 -544298.8126584426),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
621,4802321,G48002321,4802321,48,Texas,02321,Dallas County (Northwest)--Irving (Central) & Dallas (Northwest) Cities PUMA,POINT (-90322.6193738255 -517725.8742260416),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
622,4802302,G48002302,4802302,48,Texas,02302,Dallas County (Northeast)--Garland City (South) PUMA,POINT (-59319.94615976365 -517068.1496135775),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
623,4802320,G48002320,4802320,48,Texas,02320,Dallas County (West)--Irving (South) & Grand Prairie (North) Cities PUMA,POINT (-90826.80620844584 -527129.9977963812),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
624,4802305,G48002305,4802305,48,Texas,02305,Dallas (East) & Mesquite (West) Cities--South of I-30 & West of I-635 PUMA,POINT (-60924.6677181753 -530672.7968854096),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
625,4802317,G48002317,4802317,48,Texas,02317,Dallas County (South)--DeSoto & Lancaster Cities PUMA,POINT (-76395.71592753023 -548272.6194066082),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
626,4802310,G48002310,4802310,48,Texas,02310,"Dallas (Far North), Carrollton (Southeast) Cities & Addison Town--North of I-635 PUMA",POINT (-79080.29528651871 -508363.9169784724),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
627,4802309,G48002309,4802309,48,Texas,02309,Dallas (Far North) & Richardson (Southwest) Cities PUMA,POINT (-70217.3680474935 -508476.4155474224),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
628,4802307,G48002307,4802307,48,Texas,02307,Dallas City (Northeast)--East of US-75 PUMA,POINT (-68170.24920237766 -515614.2142919635),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
629,4802306,G48002306,4802306,48,Texas,02306,Dallas (Northeast) & Mesquite (North) Cities--North of I-30 & West of I-635 PUMA,POINT (-64815.61849821288 -522214.8144966218),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
630,4802314,G48002314,4802314,48,Texas,02314,Dallas City (East Central)--South of I-30 & East of I-35E PUMA,POINT (-70869.67431386765 -531974.7240479999),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
