MIGPUMA,TOT_JOBS,JOBS_AGE_29,JOBS_AGE_30_54,JOBS_AGE_55,JOBS_EARN_1250,JOBS_EARN_1251_3333,JOBS_EARN_3334,AGR,EXT,UTL,CON,MFG,WHL,RET,TRN,INF,FIN,REL,PRF,MNG,ADM,EDU,MED,ENT,FOD,SRV,PUB,JOBS_EDU_NOHS,JOBS_EDU_HS,JOBS_EDU_NOBACH,JOBS_EDU_BACH
3600800,39798,8793,20141,10864,9416,13799,16583,1535,63,547,1393,7042,1090,5461,905,171,627,272,633,221,1356,5997,3763,173,3656,893,4000,3165,9910,10286,7644
3600900,402835,101555,202360,98920,98086,120950,183799,399,156,1016,14416,40647,14222,40129,9798,6873,12831,6479,27363,9869,27203,57364,72176,6828,28775,12744,13547,30672,81519,96788,92301
3601000,34487,7893,17198,9396,8455,12175,13857,1787,86,116,1196,5596,1234,3681,928,249,649,196,494,171,917,4493,4741,807,2491,1119,3536,2522,8682,8934,6456
3601100,70857,17978,34207,18672,19728,24350,26779,576,1,514,3189,9026,1773,10347,2213,679,1480,688,1997,378,3362,6371,10999,3251,7640,2302,4071,5646,17176,17779,12278
3601200,489554,123034,246106,120414,118823,150111,220620,860,219,1456,16637,42783,19733,53503,17962,8121,28216,6858,27450,15264,25039,49343,81157,7916,44696,20194,22147,36033,105545,122282,102660
3601300,33752,7866,16763,9123,8357,11141,14254,1598,310,57,1510,3756,1045,3797,1043,289,438,208,624,203,1938,3842,3398,277,2956,1302,5161,2342,8768,8609,6167
3601400,59932,14853,29540,15539,15937,19772,24223,817,43,33,3214,8370,2201,8511,1512,752,1230,438,1328,1123,1818,7333,9836,979,5719,2053,2622,4210,13732,15023,12114
3601500,39217,9796,19182,10239,10615,13348,15254,569,4,27,1160,5115,755,5127,609,272,619,336,1323,184,1209,7167,5848,611,4366,1562,2354,2682,9355,9745,7639
3601600,37028,8056,18967,10005,8881,15237,12910,198,66,110,966,5109,806,4986,3509,464,467,224,513,373,787,3744,8773,115,2116,1391,2311,3183,9722,9783,6284
3601700,63586,14112,33531,15943,13954,17757,31875,11,371,102,2202,5353,1081,6854,2275,1239,1679,629,7103,1131,1949,6607,12724,769,5423,1808,4276,4695,12923,15701,16155
3601800,89627,22051,46977,20599,22306,25351,41970,455,169,202,5477,8935,4591,10200,2397,1030,4211,1548,5628,1042,2935,10814,11260,1869,9573,3225,4066,6125,18974,21454,21023
3601900,50584,12597,25722,12265,11780,14408,24396,225,113,660,2544,4666,842,5564,1278,766,1333,534,2422,319,1065,8034,9469,332,4646,1993,3779,3619,10261,12197,11910
3602000,241594,51526,129963,60105,47040,60895,133659,233,94,569,7819,8073,6701,21060,7635,5322,14015,3232,15752,3931,12493,22475,39263,2052,14746,9642,46487,16995,47068,60333,65672
3602100,35860,7719,17796,10345,9325,12050,14485,972,41,117,1658,2262,1703,4290,1327,478,585,302,960,189,870,4108,5733,1053,3229,1171,4812,2815,8332,9209,7785
3602200,132250,29488,66122,36640,30761,45651,55838,521,211,1059,4584,19532,5139,13956,2927,2099,3550,1557,4077,1330,4707,17323,22530,1011,11765,5247,9125,9324,31443,34533,27462
3602300,48979,11181,25384,12414,11186,12887,24906,521,326,160,885,3309,529,3979,864,495,997,631,2247,301,992,17646,6140,560,4418,1668,2311,2989,9421,11724,13664
3602400,77331,16604,40593,20134,17677,25204,34450,649,160,272,2060,10457,1752,8494,2645,840,2093,511,4803,1459,2988,8805,14187,1052,6101,2292,5711,5246,18777,20484,16220
3602500,41192,9757,20496,10939,11767,14303,15122,360,121,73,1113,4816,808,4232,515,257,951,304,839,182,901,8334,5807,1267,3756,1642,4914,2660,10561,10784,7430
3602600,47480,10908,23615,12957,12397,16933,18150,632,95,146,1649,8961,1170,5393,1128,509,771,353,948,201,1855,5766,7846,597,4270,1933,3257,3757,11983,12615,8217
3602700,87316,20171,43114,24031,21585,30897,34834,1164,198,276,4011,4782,2129,10398,2938,1091,1743,1310,2145,815,3489,9896,17176,1166,10772,3334,8483,7924,18784,21402,19035
3602800,113185,26155,55991,31039,27616,31515,54054,688,427,721,5256,8508,1835,13556,3377,1554,2444,1353,4068,1246,5526,16870,21122,1939,9617,4155,8923,8779,20934,26887,30430
