puma,TOT_JOBS,JOBS_AGE_29,JOBS_AGE_30_54,JOBS_AGE_55,JOBS_EARN_1250,JOBS_EARN_1251_3333,JOBS_EARN_3334,AGR,EXT,UTL,CON,MFG,WHL,RET,TRN,INF,FIN,REL,PRF,MNG,ADM,EDU,MED,ENT,FOD,SRV,PUB,JOBS_EDU_NOHS,JOBS_EDU_HS,JOBS_EDU_NOBACH,JOBS_EDU_BACH
3701205,58672,12968,33049,12655,11038,19824,27810,30,0,69,3347,1647,1707,6613,573,641,1208,400,2989,424,3076,4259,3394,565,3975,998,22757,5789,13149,15387,11379
3701206,76336,17434,45198,13704,12750,19771,43815,429,44,0,5605,11111,5944,7582,2926,4094,1163,1494,13194,1817,6319,2041,2901,1500,6145,1754,273,7030,14071,17219,20582
3701207,81106,20137,45583,15386,19130,22420,39556,15,28,75,3152,2108,2849,10531,303,10372,3455,1267,10796,829,6373,7283,7648,2280,8205,2082,1455,6668,13696,17474,23131
3701208,37332,10220,20126,6986,9618,10989,16725,19,28,835,3527,2327,2606,6060,310,419,717,456,3372,50,3820,3124,2360,827,4235,1261,979,3517,7020,8329,8246
3701301,161395,29501,96557,35337,22135,36174,103086,126,3,109,2608,18741,5363,10160,1899,2041,9326,1796,23244,969,7024,26878,33490,1193,9980,3460,2985,13031,28502,38179,52182
3701302,56215,12170,31272,12773,12979,18179,25057,98,28,79,2668,5092,1494,5921,1321,1371,2204,637,4003,169,3913,7753,5747,895,6069,1801,4952,6169,12333,13696,11847
3701400,72977,15464,41111,16402,13799,21662,37516,260,10,238,1897,2280,951,6124,718,895,1105,730,3663,348,1495,22494,17380,644,6774,2434,2537,6335,13295,16701,21182
3701500,43882,9860,23240,10782,11320,17272,15290,486,69,280,2346,9909,1684,5530,808,809,697,424,1472,335,2803,4042,5155,651,3788,941,1653,5505,10191,10801,7525
3701600,63697,15564,32595,15538,17350,24167,22180,87,54,105,3009,9387,2627,9457,1146,398,1488,518,1402,376,3390,6390,11265,748,7702,1547,2601,7258,14738,15314,10823
3701701,64466,15906,33600,14960,18365,21973,24128,9,6,0,1929,1678,1530,9163,624,1473,4218,1519,3110,1652,3719,4542,18027,1214,8058,1995,0,5944,13324,15827,13465
3701702,100410,21793,54424,24193,25259,34386,40765,10,15,307,4493,7087,6758,11382,6180,1106,4311,1422,4345,1810,14924,8062,7119,1396,9224,2455,8004,11175,23234,24944,19264
3701703,51336,10622,28505,12209,9571,16441,25324,190,17,0,2536,11838,6086,3363,7934,1180,1449,631,2245,385,3750,3379,2158,364,2830,869,132,5337,12755,12889,9733
3701704,69520,15109,37520,16891,15861,26638,27021,96,24,50,2754,13272,4115,8108,2635,825,2979,937,2738,1383,4087,5083,9147,779,7222,1751,1535,7713,16692,17325,12681
3701801,62903,12541,34314,16048,12737,21544,28622,4,85,0,1499,5276,1505,5079,2260,617,4113,663,2035,3208,3948,7567,18151,823,4533,1180,357,6034,14155,16217,13956
