MIGPUMA,Geo_FIPS,Geo_LOGRECNO,Geo_STATE,Geo_PUMA5,Total Population,Population Density (Per Sq. Mile),Area (Land),SE_A00003_001,SE_A00003_002,SE_A00003_003,Total Population Under 18 Years,Total Population 18 to 34 Years,Total Population 35 to 64 Years,Total Population 65 and Over,Population 25 Years and Over,Population 25 Years and Over Less than High School,Population 25 Years and Over High School Graduate (Includes Equivalency),Population 25 Years and Over Some College,Population 25 Years and Over Bachelors Degree,Population 25 Years and Over Masters Degree,Population 25 Years and Over Professional School Degree,Population 25 Years and Over Doctorate Degree,Population 3 Years and Over Enrolled in School,Population 3 Years and Over Enrolled in School Public School,Population 3 Years and Over Enrolled in School Public School Pre-School,Population 3 Years and Over Enrolled in School Public School K-8,Population 3 Years and Over Enrolled in School Public School 9-12,Population 3 Years and Over Enrolled in School Public School College,Population 3 Years and Over Enrolled in School Private School,Population 3 Years and Over Enrolled in School Private School Pre-School,Population 3 Years and Over Enrolled in School Private School K-8,Population 3 Years and Over Enrolled in School Private School 9-12,Population 3 Years and Over Enrolled in School Private School College,Population 16 Years and Over in Labor Force Civilian,Population 16 Years and Over in Labor Force Civilian Employed,Population 16 Years and Over in Labor Force Civilian Unemployed,Median Household Income (In 2019 Inflation Adjusted Dollars),Housing Units,Housing Units Occupied,Housing Units Vacant,Median Gross Rent,Total Population Native Born,Total Population Foreign Born,Total Population Foreign Born Naturalized Citizen,Total Population Foreign Born Not a Citizen
4702200,4702200,86,47,2200,136986,81.39003733,1683.080688,1711.442,1683.081,28.36168,30055,27175,54463,25293,95011,14219,36830,23450,12590,5906,1111,905,31435,27473,1200,14951,6837,4485,3962,115,747,675,2425,64275,61885,2390,48719,61565,54513,7052,686,133039,3947,722,3225
4702300,4702300,87,47,2300,136442,239.0203133,570.838512,583.196,570.8385,12.35753,32502,25759,56848,21333,93608,6679,27641,29518,21665,6960,660,485,32308,25787,1045,14142,7277,3323,6521,1435,2584,575,1927,69967,68170,1797,69959,53010,50234,2776,1005,129919,6523,2296,4227
4702400,9404803,177,94,4803,317157,512.0685815,619.3643028,624.0525,619.3643,4.688193,78325,85787,121669,31376,199945,18755,52025,60002,49337,14792,2744,2290,84641,74644,3719,35716,15381,19828,9997,1540,4100,1858,2499,178124,173238,4886,68777.12123,118420,112519,5901,991.2998137,291843,25314,11536,13778
4702500,23512515,460,235,12515,691243,1371.328397,504.0681733,525.94356,504.06822,21.87546101,145690,206476,257210,81867,477260,45892,106075,126009,129205,45793,13705,10581,164807,110117,4437,57481,23406,24793,54690,5413,13170,5866,30241,403026,387357,15669,61267.11884,314038,283929,30109,1091.024271,604031,87212,32051,55161
4702600,4702600,95,47,2600,226257,388.3536164,582.6056213,583.7689,582.6057,1.163222,62244,38848,95690,29475,147247,6842,19962,32018,53174,24742,6559,3950,63297,49000,2246,25751,12692,8311,14297,2492,5716,3057,3032,118762,115678,3084,105622,81767,77512,4255,1438,211260,14997,5685,9312
4702700,4702700,96,47,2700,173211,118.4564247,1462.233901,1466.521,1462.234,4.28734,41029,36898,69261,26023,116916,15409,47891,30093,16061,5442,1428,592,38445,32869,1456,18377,8022,5014,5576,1223,1781,1558,1014,85966,81577,4389,56075,70164,63003,7161,799,164942,8269,1414,6855
4702800,4702800,97,47,2800,109560,41.20348893,2658.99813,2670.181,2658.998,11.18317,24622,20753,43774,20411,76295,13655,34554,18660,5439,2728,745,514,22593,19147,1014,11813,4340,1980,3446,325,1132,867,1122,45217,41444,3773,40365,50108,42192,7916,594,108605,955,607,348
4702900,4702900,98,47,2900,134773,42.18312811,3194.950352,3235.116,3194.95,40.16618,31103,24475,52529,26666,94150,17160,42442,21836,8880,3182,530,120,27790,25622,688,15967,6690,2277,2168,172,948,570,478,53575,49865,3710,37307,66505,52213,14292,586,133247,1526,696,830
4703000,4703000,99,47,3000,113006,134.0756109,842.85277,844.5843,842.8528,1.731494,24271,26993,42442,19300,74330,9364,27989,18536,10415,5099,1337,1590,28642,19367,382,8901,5454,4630,9275,1090,2699,1463,4023,51301,48680,2621,44559,49714,41847,7867,849,110406,2600,1146,1454
4703100,4703100,100,47,3100,126676,77.46917058,1635.179505,1687.131,1635.18,51.95136,28478,26378,51244,20576,87087,13398,33615,26429,9045,3967,478,155,29839,24990,984,13007,6210,4789,4849,586,1697,1366,1200,57125,54325,2800,52461,51119,45330,5789,729,125060,1616,914,702
4703200,37625636,836,376,25636,936961,1227.678446,763.1974017,785.01862,763.19732,21.82127505,233989,226606,353889,122477,614274,68079,170387,180761,113316,57859,14728,9144,211075,168830,6901,84600,36470,40859,42245,6181,14148,8714,13202,466049,433458,32591,52413.27753,405590,347221,58369,946.3061408,874717,62244,23331,38913
4800100,4800100,202,48,100,180358,7.535876066,23933.24922,24042.92,23933.25,109.6671,49130,38185,66106,26937,116055,27989,35099,35299,12715,3864,353,736,45200,42744,1519,24074,11383,5768,2456,454,504,329,1169,85306,80774,4532,48992,79528,61982,17546,731,153917,26441,7923,18518
4800200,4800200,203,48,200,120458,132.6082667,908.3747415,921.9896,908.3748,13.61483,33064,27800,45618,13976,76901,18432,24887,21236,8242,2852,962,290,30855,29309,1641,15905,7062,4701,1546,472,451,335,288,52828,51210,1618,45312,49986,45130,4856,791,100842,19616,6008,13608
4800300,4800300,204,48,300,134442,147.4859602,911.5579532,922.4286,911.558,10.87062,32099,33917,48703,19723,88683,6199,22125,32842,19843,4954,1757,963,38743,34756,460,15225,7304,11767,3987,1692,663,208,1424,73579,70731,2848,62098,54753,48941,5812,876,126358,8084,3174,4910
4800400,4800400,205,48,400,133427,10.50644616,12699.53683,12716.71,12699.54,17.17773,37820,30036,46893,18678,83225,22099,25410,22003,9793,3248,243,429,35143,33308,1494,20144,7428,4242,1835,396,342,263,834,57563,53856,3707,49423,53243,41950,11293,706,118818,14609,3677,10932
4800500,9601003,413,96,1003,305225,340.8053074,895.5993155,900.70003,895.59933,5.1007213,73451,96442,98632,36700,180516,24884,47356,54331,34166,14041,2257,3481,101352,92197,2668,35298,15164,39067,9155,2116,2248,1383,3408,158107,150205,7902,47613.79586,127408,112290,15118,881.0038431,287101,18124,5707,12417
