MIGPUMA,Geo_FIPS,Geo_LOGRECNO,Geo_STATE,Geo_PUMA5,Total Population,Population Density (Per Sq. Mile),Area (Land),SE_A00003_001,SE_A00003_002,SE_A00003_003,Total Population Under 18 Years,Total Population 18 to 34 Years,Total Population 35 to 64 Years,Total Population 65 and Over,Population 25 Years and Over,Population 25 Years and Over Less than High School,Population 25 Years and Over High School Graduate (Includes Equivalency),Population 25 Years and Over Some College,Population 25 Years and Over Bachelors Degree,Population 25 Years and Over Masters Degree,Population 25 Years and Over Professional School Degree,Population 25 Years and Over Doctorate Degree,Population 3 Years and Over Enrolled in School,Population 3 Years and Over Enrolled in School Public School,Population 3 Years and Over Enrolled in School Public School Pre-School,Population 3 Years and Over Enrolled in School Public School K-8,Population 3 Years and Over Enrolled in School Public School 9-12,Population 3 Years and Over Enrolled in School Public School College,Population 3 Years and Over Enrolled in School Private School,Population 3 Years and Over Enrolled in School Private School Pre-School,Population 3 Years and Over Enrolled in School Private School K-8,Population 3 Years and Over Enrolled in School Private School 9-12,Population 3 Years and Over Enrolled in School Private School College,Population 16 Years and Over in Labor Force Civilian,Population 16 Years and Over in Labor Force Civilian Employed,Population 16 Years and Over in Labor Force Civilian Unemployed,Median Household Income (In 2019 Inflation Adjusted Dollars),Housing Units,Housing Units Occupied,Housing Units Vacant,Median Gross Rent,Total Population Native Born,Total Population Foreign Born,Total Population Foreign Born Naturalized Citizen,Total Population Foreign Born Not a Citizen
1301700,1301700,111,13,1700,207162,445.3581998,465.1581583,472.1722,465.1582,7.014063,52674,56847,72062,25579,131464,16034,39059,42626,22904,7684,2451,706,56987,51179,4048,23465,9091,14575,5808,514,2527,1120,1647,85796,76326,9470,41884,88758,73306,15452,847,197018,10144,6283,3861
1301800,1301800,112,13,1800,161949,34.05544678,4755.450753,4842.152,4755.451,86.70104,35343,34162,63425,29019,111620,20822,38040,35663,9316,5720,896,1163,40329,37475,2237,17373,9144,8721,2854,123,1101,877,753,69367,61757,7610,40357,76354,61740,14614,655,153635,8314,1570,6744
1301900,1301900,113,13,1900,152390,138.0477593,1103.893325,1120.425,1103.893,16.53142,34726,34210,58458,24996,104899,17820,41108,27126,12469,3600,1840,936,37437,33919,2219,17710,6411,7579,3518,366,1120,1223,809,63262,59879,3383,42855,64534,57245,7289,755,146760,5630,3415,2215
1302100,1302100,118,13,2100,143114,324.5939676,440.9016011,445.8168,440.9016,4.915209,35457,28452,59806,19399,94167,9547,24890,30260,21178,6357,1141,794,34570,30138,1503,16260,7486,4889,4432,1062,1864,400,1106,75910,72472,3438,72787,54624,52796,1828,1075,132900,10214,4838,5376
1302200,1302200,119,13,2200,99683,82.29793925,1211.245396,1252.462,1211.245,41.21703,23927,20795,38394,16567,66568,13464,23397,18364,7269,2814,780,480,0,0,0,0,0,0,0,0,0,0,0,42781,40537,2244,40095,43358,36452,6906,722,97250,2433,1116,1317
1302300,1302300,120,13,2300,117812,236.0525524,499.0922522,503.8355,499.0923,4.743226,28185,29388,45385,14854,75007,10319,24599,22845,11303,4481,1018,442,33650,29572,752,13038,6912,8870,4078,981,1563,417,1117,59969,56981,2988,50100,45355,42897,2458,826,111558,6254,2245,4009
1302400,1302400,121,13,2400,112549,579.0657693,194.3630689,199.3236,194.3631,4.960537,26307,19553,46532,20157,78392,4391,16288,21515,22050,10328,2174,1646,29115,25232,786,12908,7168,4370,3883,823,1563,584,913,55950,52966,2984,84742,42503,40484,2019,1299,99379,13170,7948,5222
1302500,1302500,122,13,2500,169606,153.8478559,1102.426804,1113.781,1102.427,11.35425,40083,39058,63622,26843,112677,22685,42476,30200,9864,5021,1552,879,39534,35195,1672,20171,8853,4499,4339,264,442,375,3258,80700,75289,5411,45053,69940,63232,6708,726,160224,9382,1800,7582
1302600,1302600,123,13,2600,176544,161.1009247,1095.859632,1097.204,1095.86,1.344596,39250,35598,70346,31350,121616,20031,43501,37626,13101,5217,1246,894,38016,30922,1291,15674,7693,6264,7094,176,3706,1293,1919,82715,78828,3887,46204,76073,67378,8695,688,173506,3038,1622,1416
1302700,1302700,124,13,2700,104658,360.3155922,290.4620346,291.0544,290.462,0.5923186,27682,23513,39675,13788,66837,21564,20759,13530,6874,3061,645,404,27453,26475,968,14308,6040,5159,978,208,404,78,288,49055,45967,3088,40717,39956,35824,4132,714,84201,20457,4671,15786
1302800,1302800,125,13,2800,184455,105.6659693,1745.642435,1760.681,1745.642,15.03821,41636,37382,72415,33022,126960,26083,42755,36027,14368,6107,1183,437,38084,34828,1905,19635,8137,5151,3256,699,1251,988,318,85471,80912,4559,49502,86579,67022,19557,689,173978,10477,3293,7184
1302900,1302900,126,13,2900,105054,228.6037849,459.5461971,470.1132,459.5462,10.56698,25556,23032,41641,14825,71074,11806,22598,21744,9904,2866,1848,308,0,0,0,0,0,0,0,0,0,0,0,53240,51514,1726,54218,41049,38765,2284,874,97501,7553,2779,4774
1303000,6515015,645,65,15015,755754,2225.013381,339.6626764,344.51777,339.66268,4.8550777,181098,177915,307338,89403,506561,38867,97549,133659,150043,64272,13686,8485,208822,176959,6465,80993,42091,47410,31863,9459,10092,3233,9079,408426,389063,19363,78145.06742,300570,277609,22961,1208.509506,629279,126475,57053,69422
1303100,2606203,265,26,6203,247573,587.1137264,421.6780989,434.40526,421.67812,12.72712,61639,48467,105411,32056,165411,12045,36945,56018,39884,15747,3259,1513,70901,61177,1896,30651,14595,14035,9724,1964,2364,869,4527,130893,125683,5210,78199.39385,92065,89510,2555,1288.637222,227463,20110,8537,11573
1303200,1303200,134,13,3200,138272,86.8029213,1592.94178,1618.683,1592.942,25.74152,25116,26580,52137,34439,99249,12925,32476,30388,13025,7429,1885,1121,26372,23377,1611,10460,5634,5672,2995,487,704,157,1647,60730,58349,2381,53425,77183,51415,25768,775,134568,3704,2803,901
1303300,1303300,135,13,3300,227967,1017.268348,224.0972113,247.1685,224.0972,23.07126,63627,38390,99466,26484,148444,10773,22041,33699,53464,23837,2829,1801,65931,55052,1166,31453,13479,8954,10879,3197,3068,1959,2655,118367,114636,3731,102084,81256,78299,2957,1485,185618,42349,19359,22990
1303400,1303400,136,13,3400,199335,507.4930142,392.7837318,429.2947,392.7837,36.51101,51008,43772,75724,28831,129706,27583,36562,31506,20853,8419,3199,1584,49821,44636,1608,24207,11370,7451,5185,570,1740,993,1882,100436,97520,2916,61977,73090,62164,10926,892,168057,31278,7301,23977
1303500,1303500,137,13,3500,140039,118.48968,1181.86664,1220.509,1181.867,38.642,29439,26789,55705,28106,97913,20809,35130,25525,9388,4229,1775,1057,32487,25590,825,12769,7220,4776,6897,574,1722,1178,3423,59790,57347,2443,46863,62898,48995,13903,673,132832,7207,3274,3933
1303600,1303600,138,13,3600,127064,1065.932087,119.2045925,121.0352,119.2046,1.830615,21956,53997,37667,13444,70087,8232,15079,15912,15398,9221,2236,4009,50247,46151,612,9566,3798,32175,4096,561,1275,1174,1086,65970,61792,4178,39825,52883,48257,4626,844,114837,12227,3668,8559
1303700,1303700,139,13,3700,116263,70.71358829,1644.139448,1694.425,1644.139,50.28586,26435,19850,47503,22475,80109,12052,25088,20125,12923,5178,2706,2037,27933,23240,767,11689,6187,4597,4693,595,2394,979,725,53733,50725,3008,51615,52124,43567,8557,732,111041,5222,2612,2610
1303800,1303800,140,13,3800,146580,293.1378817,500.0377268,506.0407,500.0377,6.002993,37568,31709,58002,19301,98396,14438,33919,29970,12895,5086,1309,779,37512,31983,1961,17273,6961,5788,5529,1478,2387,274,1390,72751,70245,2506,62370,53618,50678,2940,824,136949,9631,3710,5921
1303900,1303900,141,13,3900,123920,119.015783,1041.206443,1058.085,1041.206,16.87867,29802,24374,48484,21260,84688,9486,36011,23669,10854,3372,1145,151,29805,26568,1302,14259,7048,3959,3237,803,1267,258,909,55340,52694,2646,53908,48793,43639,5154,870,119103,4817,3545,1272
1304000,1304000,142,13,4000,201800,622.2075262,324.3290888,328.5926,324.3291,4.263467,46867,55635,72046,27252,131433,23148,39362,41239,17433,6429,2468,1354,51260,42708,2362,19975,9983,10388,8552,1323,2289,642,4298,92022,81679,10343,37324,88641,71411,17230,839,194099,7701,4625,3076
1304007**,7824021,873,78,24021,920260,2137.899278,430.4505874,436.77537,430.45059,6.3247743,250115,205571,376132,88442,587069,71802,135667,165503,140009,54381,12534,7173,263556,233791,10427,123368,57789,42207,29765,6739,7703,2044,13279,483994,463472,20522,71090.13219,309255,292679,16576,1258.124385,687443,232817,108802,124015
1304100,1304100,149,13,4100,151579,522.5307785,290.0862614,307.6031,290.0863,17.51681,38835,35030,58227,19487,98512,9035,22807,31727,21853,9314,2726,1050,46341,41694,2562,16839,9515,12778,4647,1003,2145,390,1109,67604,65755,1849,74164,57472,43990,13482,1074,140117,11462,4697,6765
1304200,1304200,150,13,4200,123373,27.96935916,4411.005605,4504.427,4411.005,93.42133,28384,25866,46798,22325,83404,18185,34853,20201,6801,2619,570,175,28730,26842,1832,13025,7272,4713,1888,62,793,438,595,47476,45297,2179,39870,61072,45792,15280,626,121141,2232,799,1433
1304300,1304300,151,13,4300,198390,493.498639,402.0071877,411.2957,402.0072,9.288491,51002,40880,79834,26674,125865,13729,42648,40545,16390,8955,2010,1588,55544,48298,1567,23928,13978,8825,7246,969,2358,1997,1922,95435,89296,6139,60539,72764,67368,5396,962,182384,16006,10811,5195
1304400,1304400,152,13,4400,143882,719.1710231,200.066459,201.0261,200.0665,0.9596292,37559,30836,58807,16680,94045,13793,28951,25950,14785,8650,1204,712,39272,34262,2299,18309,7806,5848,5010,974,1111,1409,1516,74498,71043,3455,61094,52702,49962,2740,994,132388,11494,7352,4142
1304500,1304500,153,13,4500,159445,510.5642078,312.2917697,314.3417,312.2918,2.049946,43146,33484,66467,16348,102836,10330,34461,35777,13854,6155,1679,580,39109,35990,1811,20507,8282,5390,3119,663,895,530,1031,80740,78030,2710,66482,56450,52707,3743,1118,151932,7513,4730,2783
1305000,2610003,311,26,10003,285153,2013.75818,141.6024043,144.32962,141.6024,2.7272128,79861,71713,107882,25697,176690,29406,64250,54070,18975,7234,2086,669,81446,75825,4255,40178,19044,12348,5621,146,827,795,3853,142473,133230,9243,46826.49751,105623,94199,11424,982.1072898,250950,34203,15874,18329
1306000,2612003,315,26,12003,225813,700.9273074,322.1632224,326.5467,322.1632,4.383489,59010,47326,94478,24999,144329,11012,46127,44440,28087,11871,1925,867,62556,52718,1670,29019,13187,8842,9838,1465,2792,1491,4090,119838,112457,7381,67210.88634,81355,77170,4185,1140.071727,209237,16576,9930,6646
1500100,1500100,19,15,100,238507,132.9873466,1793.45634,3717.497,1793.456,1924.041,52471,46016,97048,42972,169674,14637,52774,55574,31123,10972,2872,1722,47688,38154,1634,22780,8768,4972,9534,2569,3223,1854,1888,126444,121143,5301,81000,104029,76596,27433,1420,198266,40241,23757,16484
1500200,1500200,20,15,200,200381,49.7416239,4028.437037,5086.155,4028.437,1057.718,43717,38412,78162,40090,142146,9706,42363,46392,29751,9233,2603,2098,41743,33670,1679,17419,7326,7246,8073,1069,3962,1395,1647,94936,89689,5247,57545,88107,68857,19250,1107,174242,26139,11376,14763
1500300,12002436,196,120,2436,988650,1646.033338,600.625745,2128.05569,600.6257,1527.429898,209809,245433,362720,170688,685924,52788,185357,209473,156119,57120,16022,9045,235177,181036,7002,82950,33108,57976,54141,9407,16772,9158,18804,488887,469673,19214,84425.98912,350819,312625,38194,1863.958071,789465,199185,125930,73255
1600190,3200300,51,32,300,276331,31.65318232,8729.959509,9009.3856,8729.9594,279.42561,60073,60164,103248,52846,188913,11129,53685,75275,33479,11053,2706,1586,63343,52734,1701,23027,12170,15836,10609,1938,5359,1503,1809,128778,122247,6531,52533.53906,130733,107483,23250,849.7616011,268800,7531,4101,3430
1600300,1600300,27,16,300,104312,3.193040347,32668.55056,32841.69,32668.55,173.1425,21916,17776,40112,24508,75191,7173,22465,28535,12578,3094,461,885,20641,18959,970,9983,5433,2573,1682,348,882,122,330,46774,45067,1707,47880,62870,40952,21918,693,102200,2112,1370,742
1600490,9603703,183,96,3703,736117,62.77548036,11726.18665,11810.45417,11726.18619,84.2671693,187814,164221,279733,104349,483648,43938,135494,162698,93642,34392,6691,6793,195443,170268,4416,88333,39351,38168,25175,6318,8155,3919,6783,364907,350527,14380,55272.93329,283244,268102,15142,890.7838387,689454,46663,21404,25259
1600900,1600900,34,16,900,110222,24.56859708,4486.296048,4508.602,4486.296,22.30619,32385,22839,39276,15722,69436,9064,19289,27708,9594,2690,367,724,30587,26611,1058,15571,5923,4059,3976,468,1715,516,1277,52198,50433,1765,51510,42089,38702,3387,755,99954,10268,2476,7792
1601000,1601000,35,16,1000,115884,11.49866035,10078.04357,10145.16,10078.04,67.11785,31736,26161,41464,16523,72375,12194,22769,23156,9649,3377,621,609,26736,24369,1475,14516,6480,1898,2367,872,817,236,442,54357,52085,2272,50019,53957,41301,12656,733,99172,16712,3927,12785
1601190,3202400,74,32,2400,259482,19.82531268,13088.41904,13353.367,13088.419,264.94778,73996,66200,85349,33937,153102,12996,42630,56469,27904,8602,2251,2250,83986,69037,2102,34862,18545,13528,14949,1503,1696,933,10817,120395,114744,5651,51150.25224,106121,87477,18644,679.8844197,247767,11715,4385,7330
1601200,1601200,37,16,1200,114595,61.4096341,1866.075278,1900.634,1866.075,34.55835,35365,26037,38484,14709,69123,5245,16697,25521,15954,3352,1049,1305,33283,29682,949,17173,7033,4527,3601,1344,760,168,1329,53504,51810,1694,53478,42804,41118,1686,791,108456,6139,2534,3605
1700104,1700104,131,17,104,126636,51.58211583,2455.036944,2510.564,2455.037,55.52711,26159,22828,50223,27426,91769,8301,33253,32943,10798,5177,803,494,24978,22227,999,11907,6254,3067,2751,375,970,609,797,60400,57275,3125,55051,63087,52360,10727,675,122301,4335,1602,2733
1700105,1700105,132,17,105,144808,338.62405,427.6364894,451.288,427.6365,23.65154,32276,30502,54982,27048,99388,11259,30268,35104,14144,6998,1150,465,33222,27681,769,14465,7047,5400,5541,504,922,807,3308,72177,67602,4575,51711,66179,60438,5741,720,132316,12492,5660,6832
1700202,1700202,133,17,202,173309,38.05479388,4554.19626,4619.766,4554.196,65.56948,36133,37857,65001,34318,118254,9166,42039,39626,17179,7790,1169,1285,42752,37837,2172,17498,8384,9783,4915,463,1420,625,2407,82837,78787,4050,52209,81003,67918,13085,642,170761,2548,1165,1383
1700300,1700300,134,17,300,109807,36.98807329,2968.713702,3032.224,2968.714,63.5099,23410,20986,42617,22794,78132,7675,28700,24284,10333,5698,1158,284,24142,19307,1011,10436,4620,3240,4835,695,1602,784,1754,52433,49894,2539,48930,51974,44392,7582,646,108291,1516,867,649
1700401,1700401,135,17,401,137066,42.50672176,3224.572358,3283.46,3224.572,58.8878,29022,27844,54047,26153,95945,8751,37796,29543,13963,5135,307,450,31411,24647,2258,11386,6751,4252,6764,552,2624,895,2693,67485,63842,3643,53487,64810,54402,10408,688,133953,3113,677,2436
1700501,1700501,136,17,501,139119,50.52785282,2753.313118,2801.057,2753.313,47.74425,29375,29341,55493,24910,97635,10511,35490,33864,12205,4267,839,459,31564,25418,1847,12740,6373,4458,6146,698,1757,1175,2516,65399,63594,1805,58042,59942,52874,7068,665,137092,2027,1054,973
1700600,1700600,137,17,600,98449,51.96965674,1894.355402,1898.3,1894.355,3.944209,20263,24430,35816,17940,65079,8045,22484,21396,8444,3404,581,725,22939,20693,931,9305,3987,6470,2246,238,1325,483,200,49309,45703,3606,47755,45646,39861,5785,628,96791,1658,904,754
1700700,1700700,138,17,700,108700,32.41010456,3353.892296,3369.869,3353.892,15.97712,23542,21756,42918,20484,76389,9201,26654,28921,8088,2543,443,539,23296,20536,1253,10055,5136,4092,2760,287,1435,645,393,51037,48690,2347,50379,50263,43446,6817,639,106991,1709,541,1168
1700800,1700800,139,17,800,132681,32.73163416,4053.601459,4127.477,4053.602,73.87537,28148,23931,52242,28360,94442,10620,31824,34817,12501,3680,583,417,26949,24577,1623,13697,5213,4044,2372,285,1174,292,621,54651,51106,3545,45560,66996,53415,13581,556,130514,2167,1151,1016
1700900,1700900,140,17,900,185938,100.241598,1854.898602,1925.128,1854.899,70.22907,37607,47249,68229,32853,125427,12429,37432,47289,15001,7965,2271,3040,47156,44010,2091,17468,7851,16600,3146,293,1354,634,865,79961,74254,5707,43872,88564,74486,14078,656,181161,4777,1412,3365
1701001,1701001,141,17,1001,156631,58.7376127,2666.621825,2718.97,2666.622,52.34782,33985,30808,62736,29102,110992,12485,37025,39623,13307,6396,1086,1070,33371,27673,1193,13979,7155,5346,5698,904,3293,403,1098,75981,71987,3994,52325,69937,62813,7124,673,154153,2478,1052,1426
1701100,3402209,285,34,2209,262479,399.0384373,657.7787387,674.031,657.7788,16.252238,62007,56826,103436,40210,177786,14202,52519,60360,28624,18014,2258,1809,65026,54480,4717,25750,13453,10560,10546,832,5179,1124,3411,132668,124520,8148,51921.87977,120210,102793,17417,825.1569764,254474,8005,3395,4610
1701200,3402409,289,34,2409,265428,370.8528411,715.7232481,740.5613,715.7232,24.838018,58097,57952,104500,44879,185473,15419,56675,62700,30514,16524,2565,1076,63750,54696,1327,26130,12503,14736,9054,1208,3916,1294,2636,135129,127428,7701,58177.95571,119352,107212,12140,786.3476724,260711,4717,2423,2294
1701300,1701300,146,17,1300,196452,226.248534,868.3017589,877.0192,868.3018,8.717486,44106,40461,78354,33531,136549,9432,37960,44083,27646,12461,3515,1452,46902,40251,2731,19907,9415,8198,6651,961,2625,905,2160,100189,94602,5587,61542,91745,84583,7162,802,189770,6682,2852,3830
1701500,1701500,147,17,1500,105801,182.1995509,580.6874904,585.8649,580.6875,5.177422,23421,22053,39776,20551,72448,5806,23798,26058,10994,4850,738,204,24028,20883,1879,11160,4638,3206,3145,199,997,413,1536,51909,46886,5023,51970,50433,42977,7456,670,103321,2480,1260,1220
1701602,1701602,148,17,1602,140558,39.33819898,3573.066476,3607.117,3573.066,34.05026,29432,26707,57086,27333,100337,9988,37895,32181,13726,5008,812,727,30506,26083,1856,13565,6718,3944,4423,956,1347,306,1814,68437,65436,3001,55355,64801,57089,7712,673,138383,2175,1089,1086
1701701,1701701,149,17,1701,183011,295.5569081,619.2073168,630.5994,619.2073,11.39204,43640,40763,67991,30617,122961,13139,31482,40031,21870,12468,2891,1080,46557,36002,2435,19046,8207,6314,10555,889,2600,1698,5368,87171,79396,7775,53843,83739,71371,12368,734,171232,11779,5931,5848
1701900,1701900,150,17,1900,133526,205.7163035,649.0783556,657.9362,649.0784,8.857846,30181,26199,53138,24008,92951,7841,29001,29408,18552,5772,1264,1113,32073,26272,1669,14002,6110,4491,5801,923,1962,620,2296,64994,61494,3500,60306,59002,54253,4749,726,130423,3103,1266,1837
1702000,1702000,151,17,2000,172290,145.5951855,1183.349569,1186.27,1183.35,2.919951,37500,52189,60419,22182,104627,3769,25490,27929,33412,10533,1506,1988,55263,50607,1468,18054,8417,22668,4656,1031,1337,195,2093,90973,88398,2575,68274,72378,65146,7232,802,160181,12109,4300,7809
1702100,1702100,152,17,2100,209399,210.1814121,996.2774438,998.3928,996.2775,2.115406,39831,78183,65318,26067,120473,5029,25082,36356,26154,16637,3999,7216,81187,75789,2406,17362,8113,47908,5398,945,2381,688,1384,107137,100542,6595,50281,92736,83080,9656,816,182155,27244,7034,20210
1702200,1702200,153,17,2200,157459,44.41026757,3545.553959,3552.374,3545.554,6.819621,35497,31647,59620,30695,109195,12746,44495,34856,11610,4506,633,349,34028,30660,1777,17257,7091,4535,3368,432,1412,694,830,71121,66790,4331,46711,72160,61441,10719,673,154682,2777,729,2048
1702300,1702300,154,17,2300,109605,162.0038472,676.5580072,681.3639,676.558,4.805865,25450,24058,42085,18012,72688,8779,23217,25577,9583,4094,763,675,28649,22190,1278,10598,5901,4413,6459,253,2124,697,3385,52870,49540,3330,58539,45495,39628,5867,792,105136,4469,1247,3222
1702400,1702400,155,17,2400,110067,96.96448473,1135.126952,1148.136,1135.127,13.00905,23718,22229,44157,19963,77038,7835,28601,26211,9238,3943,570,640,24418,21859,1496,10470,6161,3732,2559,480,1336,65,678,56363,52553,3810,56896,50134,44625,5509,794,105485,4582,1914,2668
1702501,1702501,156,17,2501,145498,49.3503105,2948.26919,2995.044,2948.269,46.77523,31000,28015,56479,30004,102039,8107,35222,36021,15718,4789,1464,718,34361,28869,2417,13989,6316,6147,5492,729,1554,348,2861,70979,67088,3891,56262,66885,57579,9306,630,141655,3843,1482,2361
1702601,1702601,157,17,2601,104733,165.8971688,631.3127628,634.6599,631.3127,3.347134,22678,34706,34697,12652,62923,5536,17465,21611,11464,5500,800,547,34148,30952,754,10228,5397,14573,3196,917,855,62,1362,55371,52061,3310,59942,41205,38324,2881,846,96095,8638,3031,5607
1702700,1702700,158,17,2700,96117,72.64527427,1323.100518,1328.047,1323.1,4.946335,20881,17978,38482,18776,68104,5860,23541,24572,9641,3669,297,524,20898,18771,937,9528,4632,3674,2127,397,760,491,479,48663,45421,3242,54121,44603,40213,4390,693,92952,3165,1335,1830
1702890,3405702,319,34,5702,338291,425.9996483,794.1109843,801.2751,794.111,7.164083,80340,69585,131248,57118,229780,26889,76605,76083,30962,14522,3607,1112,82062,69733,3680,35157,18449,12447,12329,1457,4770,2484,3618,174640,158461,16179,56654.20793,145798,132479,13319,799.9582756,307373,30918,14104,16814
1703000,6812029,650,68,12029,534667,1028.110732,520.0480682,524.20062,520.04804,4.1525817,138472,110803,215365,70027,346896,53982,81983,98491,74399,30121,4892,3028,149495,126060,5420,64134,31240,25266,23435,3183,6855,3667,9730,282847,267228,15619,77693.4202,187801,180787,7014,1198.867561,437433,97234,41259,55975
1703100,8515528,835,85,15528,692661,827.619379,836.9318283,849.22822,836.93183,12.2964325,174511,145504,285209,87437,454415,43913,122207,139659,98583,38567,6742,4744,186651,159272,5917,82101,42267,28987,27379,3749,7954,2790,12886,369258,351809,17449,84972.22576,243986,228366,15620,1323.200901,601779,90882,49218,41664
1703200,11922438,1211,119,22438,930128,2839.434705,327.5750621,336.4177,327.57507,8.842643,212281,198648,379894,139305,636756,45607,115636,156387,192682,97364,17670,11410,241744,187644,8406,93047,48867,37324,54100,7763,13604,5033,27700,515062,494244,20818,89773.07281,360199,341845,18354,1267.202699,749164,180964,108719,72245
1703300,8516540,895,85,16540,703613,1585.937374,443.6574934,1368.45584,443.65752,924.798314,171875,150651,284844,96243,459362,43193,100848,108883,118959,61983,16318,9178,189514,159344,6917,78852,43073,30502,30170,5293,9102,2978,12797,371183,350723,20460,90698.18471,263805,247735,16070,1315.414619,574062,129551,64232,65319
1703400,57917881,6749,578,117881,5211263,5513.036899,945.2617668,1634.835609,945.261772,689.5737945,1146736,1315766,2004990,743771,3597492,468655,835155,903823,829556,398803,108245,53255,1272191,975448,52808,495023,232635,194982,296743,37813,71569,29383,157978,2757877,2562770,195107,63325.21677,2193202,1948373,244829,1111.194226,4098666,1112597,562956,549641
1703600,3407203,433,34,7203,309029,512.3446392,603.1662602,610.8134,603.1663,7.647209,74074,60553,131789,42613,208664,15502,54416,67285,48205,18696,2486,2074,81390,72041,2941,34755,19254,15091,9349,2966,2657,763,2963,174931,167685,7246,86538.11506,118486,112178,6308,1156.882364,280516,28513,14699,13814
1703700,1703700,218,17,3700,176804,239.4377304,738.4132807,752.7685,738.4133,14.35524,49442,36297,70852,20213,114648,10208,29916,41223,21848,9632,669,1152,50080,45156,3099,25574,10953,5530,4924,1576,1366,422,1560,91379,87045,4334,82461,62860,60190,2670,1092,159630,17174,10665,6509
1800100,7200410,350,72,410,485640,973.272803,498.9762362,626.57052,498.97618,127.5942812,115237,101613,190669,78121,328166,38658,111487,103891,49595,18062,3878,2595,119382,104610,5813,53420,24950,20427,14772,2512,4715,2706,4839,233348,216440,16908,57759.97545,212708,184206,28502,892.9018779,451512,34128,19803,14325
1800200,1800200,90,18,200,168404,402.7328475,418.1531281,521.7804,418.1531,103.6273,37848,35410,68300,26846,114962,7066,40648,32750,21802,8995,2163,1538,40988,34109,1333,18760,8886,5130,6879,870,1620,633,3756,83111,79692,3419,65747,68787,64722,4065,894,162881,5523,3407,2116
1800300,1800300,91,18,300,110029,183.9029898,598.2991365,613.2595,598.2991,14.96036,23682,23983,43176,19188,77827,9020,31282,24364,9093,2900,724,444,22412,18927,1364,9805,5509,2249,3485,296,1123,828,1238,48638,45603,3035,50736,49126,42385,6741,695,105740,4289,2115,2174
1800400,3600803,185,36,803,270434,590.6625047,457.8485985,461.38555,457.84857,3.5369231,64055,65786,98480,42113,176362,20224,51414,52084,30721,14456,3634,3829,74184,47335,2629,24336,11686,8684,26849,1630,7441,2324,15454,136458,130830,5628,52425.68783,116475,98705,17770,776.484022,252952,17482,5880,11602
1800500,1800500,94,18,500,205032,442.6635551,463.1779545,467.9706,463.1779,4.792599,56596,44113,75093,29230,129938,25213,41770,36698,16532,7200,1367,1158,52702,44668,1830,25624,11398,5816,8034,1181,3191,884,2778,100444,96434,4010,58960,79000,73363,5637,789,189995,15037,5277,9760
1800600,1800600,95,18,600,164075,112.2245554,1462.024059,1490.452,1462.024,28.42785,42684,33667,61904,25820,107332,19776,40314,30891,11607,3697,679,368,37011,30847,933,18694,8210,3010,6164,722,2449,528,2465,81602,79078,2524,54359,73344,61404,11940,718,160430,3645,1407,2238
1800700,1800700,96,18,700,103918,50.1400359,2072.555357,2082.829,2072.555,10.27327,24047,19124,42154,18593,71627,8646,31054,22570,6060,2596,400,301,23185,20149,1121,10204,5563,3261,3036,663,1047,620,706,50318,47968,2350,53384,46536,40731,5805,719,100318,3600,2032,1568
1800800,1800800,97,18,800,125704,128.925325,975.0140248,1004.136,975.014,29.12193,30425,27222,47468,20589,83834,10804,29795,23699,13097,5370,658,411,26769,21790,899,12201,5941,2749,4979,828,2032,504,1615,65363,62380,2983,57812,58726,47841,10885,715,120822,4882,1293,3589
1800900,1800900,98,18,900,133568,93.71015083,1425.331181,1435.849,1425.331,10.5179,33339,27116,50615,22498,88851,8067,33841,29562,11985,4617,554,225,31988,27425,1595,14122,6726,4982,4563,594,1911,335,1723,65378,63769,1609,52314,55962,52431,3531,638,131737,1831,790,1041
1801000,5403006,300,54,3006,372877,567.2717887,657.3163119,660.02192,657.31635,2.70564884,96420,85317,137952,53188,242816,25860,71534,81551,42687,16261,2788,2135,96553,71030,2845,36238,16825,15122,25523,3764,11065,5067,5627,189358,179494,9864,54103.97416,157976,143105,14871,795.7237534,348185,24692,13622,11070
1801100,1801100,102,18,1100,123206,56.16985452,2193.454141,2200.897,2193.454,7.442625,29482,23163,47899,22662,84445,10511,35748,25194,9204,3068,463,257,27829,23702,851,13778,6184,2889,4127,1219,1276,640,992,61622,59249,2373,51780,57317,47819,9498,688,118095,5111,962,4149
1801200,1801200,103,18,1200,190587,381.3241087,499.8031744,503.2434,499.8032,3.440238,39738,71715,57986,21148,105496,7474,26634,27787,24073,12947,1829,4752,70896,65701,1080,18665,6482,39474,5195,1075,1577,1372,1171,102352,98544,3808,52183,75907,69502,6405,793,167434,23153,4463,18690
1801300,1801300,104,18,1300,135036,139.8333009,965.6927152,969.3362,965.6927,3.643507,30256,25973,52444,26363,94305,11335,39050,27909,11665,3935,339,72,30818,28609,1557,15464,6532,5056,2209,1073,597,223,316,63594,60631,2963,47841,62843,55819,7024,674,129428,5608,1520,4088
1801400,1801400,105,18,1400,133779,111.4495051,1200.355263,1213.264,1200.355,12.90899,28546,29365,50685,25183,90087,10145,34259,27797,10498,5619,985,784,33783,26057,1645,13778,7054,3580,7726,133,1038,183,6372,63167,59282,3885,46231,60057,52218,7839,694,132265,1514,1067,447
