ORIGIN,JWMNP,FINCP,GRNTP,HINCP,SMOCP,PINCP,HH_COST,PERNP,WAGP,UNEMP,EMP,type
0607300,20.0,98900.0,1620.0,94200.0,1998.0,43000.0,0.2289795918367347,40000.0,37000.0,590,12386,stayers
0607500,30.0,135600.0,1941.5,136000.0,2584.0,70000.0,0.18830769230769231,67000.0,63000.0,133,3876,stayers
0607700,20.0,80000.0,1238.0,77200.0,1463.0,37000.0,0.21012087026591458,35000.0,34000.0,157,2604,stayers
0607900,15.0,99000.0,1500.0,90920.0,1795.0,44950.0,0.21751296576530893,40000.0,35000.0,27,905,stayers
0608100,25.0,151600.0,2534.0,146000.0,2670.0,70000.0,0.19961759082217972,65000.0,60000.0,123,3491,stayers
0608300,15.0,97900.0,1703.0,97000.0,1723.0,40000.0,0.21538950715421307,38000.0,32000.0,82,1638,stayers
0608500,25.0,152000.0,2346.0,148000.0,2617.5,68000.0,0.19704894083272462,65000.0,60000.0,349,8590,stayers
0608700,20.0,125500.0,1786.0,118660.0,2313.0,53000.0,0.21954545454545454,48000.0,40000.0,47,1032,stayers
0608900,15.0,73500.0,1119.0,65600.0,1156.0,40000.0,0.1937809187279152,36000.0,33600.0,50,661,stayers
0609500,25.0,102000.0,1700.0,100000.0,1813.5,50000.0,0.20834782608695654,46000.0,44500.0,76,1787,stayers
0609700,20.0,106900.0,1710.0,99800.0,1880.0,49200.0,0.22002797202797203,43100.0,37000.0,72,1930,stayers
0609900,20.0,70500.0,1150.0,69000.0,1292.0,36000.0,0.2075229357798165,35000.0,32000.0,131,1651,stayers
0610100,20.0,78500.0,1000.0,73000.0,1378.0,35000.0,0.21112499999999998,32000.0,30000.0,49,623,stayers
0610700,15.0,60900.0,900.0,58000.0,1047.0,30000.0,0.19924528301886793,28000.0,25000.0,157,1461,stayers
0611100,20.0,105050.0,1878.0,102950.0,2048.0,43950.0,0.21536886540930186,40000.0,38000.0,164,3790,stayers
0611300,20.0,108100.0,1360.0,97200.0,1746.0,50000.0,0.2033898305084746,49700.0,45000.0,36,742,stayers
0800100,16.0,99680.0,1405.0,86700.0,1455.0,45000.0,0.188448,43000.0,40000.0,40,1436,stayers
0800190,23.0,103800.0,1410.0,95100.0,1545.0,50000.0,0.18230045197244285,48000.0,45000.0,468,15659,stayers
0800200,20.0,82200.0,1266.0,75400.0,1283.0,40000.0,0.19426747967479674,40000.0,36000.0,7,421,stayers
0800400,15.0,93000.0,1400.0,87300.0,1719.5,46800.0,0.21000000000000002,40000.0,40000.0,9,324,stayers
0800690,15.0,62000.0,755.0,55400.0,733.0,35180.0,0.16640566353264707,32000.0,30000.0,86,1461,stayers
0800900,15.0,78600.0,940.0,68500.0,933.0,40000.0,0.16815426765015806,35000.0,30000.0,22,595,stayers
0801000,15.0,71750.0,918.0,62960.0,898.0,39250.0,0.16865454545454545,35000.0,33000.0,35,859,stayers
0804100,20.0,86800.0,1240.0,81500.0,1283.0,43000.0,0.18268760907504364,40000.0,39000.0,86,2491,stayers
0900100,20.0,137900.0,1510.0,125515.0,2358.0,60000.0,0.20615840118430792,55000.0,50000.0,205,4133,stayers
0900300,20.0,105600.0,1130.0,95000.0,1601.0,52000.0,0.18902654867256635,50000.0,45900.0,191,3965,stayers
0900500,20.0,106750.0,1079.0,93000.0,1498.0,50000.0,0.18478802992518703,45800.0,42050.0,37,1045,stayers
0900700,25.0,112000.0,1220.5,105950.0,1786.0,55200.0,0.19648266357173944,52000.0,50000.0,29,738,stayers
0900900,20.0,104200.0,1160.0,90000.0,1648.0,50000.0,0.2024817518248175,45200.0,43000.0,163,3358,stayers
0901100,20.0,101000.0,1100.0,92000.0,1510.0,48000.0,0.1887240356083086,44000.0,40000.0,55,1294,stayers
0901300,25.0,122000.0,1228.0,110020.0,1542.5,53000.0,0.16795737122557727,50000.0,50000.0,20,691,stayers
0901500,25.0,87600.0,1027.0,80000.0,1290.0,41000.0,0.1823559408465069,36000.0,35000.0,24,593,stayers
1000100,20.0,98800.0,1200.0,87250.0,1303.0,47000.0,0.16928571428571426,45000.0,42000.0,111,2144,stayers
1000200,20.0,80050.0,1178.0,70150.0,997.0,39750.0,0.1739524348810872,35500.0,35000.0,22,624,stayers
1000300,20.0,76800.0,1110.0,71500.0,910.0,40000.0,0.16196273291925467,35000.0,33000.0,34,921,stayers
1100100,30.0,131700.0,1570.0,116450.0,2080.0,70000.0,0.1926910994764398,68000.0,65000.0,188,2903,stayers
1200100,20.0,85000.0,1069.0,68200.0,991.0,38650.0,0.18028557898794118,35000.0,34000.0,46,990,stayers
1200500,20.0,65350.0,987.0,60400.0,802.0,35400.0,0.1704807692307692,33000.0,30000.0,59,1134,stayers
1200900,20.0,80200.0,1050.0,70000.0,921.0,40500.0,0.16504918032786886,38000.0,36000.0,82,1959,stayers
1201100,25.0,82050.0,1400.0,75000.0,1343.0,40000.0,0.2164858670741024,36750.0,35000.0,360,7090,stayers
