ORIGIN,JWMNP,FINCP,GRNTP,HINCP,SMOCP,PINCP,HH_COST,PERNP,WAGP,UNEMP,EMP,type
1300600,15.0,67950.0,777.0,59600.0,820.0,35000.0,0.1689496402877698,32550.0,30800.0,18,458,stayers
1300700,15.0,58000.0,680.0,50250.0,724.5,32000.0,0.16976897689768977,29050.0,28000.0,23,543,stayers
1300800,20.0,56200.0,650.0,53230.0,634.5,32950.0,0.16430769230769232,30000.0,28300.0,37,465,stayers
1300900,15.0,63000.0,738.0,55200.0,750.0,36000.0,0.17314285714285713,33000.0,30000.0,34,425,stayers
1301090,25.0,94150.0,1151.5,80500.0,1358.0,45000.0,0.1867924528301887,43000.0,40000.0,374,6662,stayers
1301100,20.0,54900.0,610.0,48000.0,606.5,32000.0,0.15236363636363637,30000.0,27700.0,22,533,stayers
1301200,20.0,53000.0,590.0,48000.0,478.0,30000.0,0.1426086956521739,29100.0,26000.0,32,554,stayers
1301300,15.0,50004.0,653.0,45000.0,487.0,32000.0,0.14723076923076922,30000.0,28000.0,33,603,stayers
1301400,15.0,63900.0,834.0,50000.0,860.0,33000.0,0.18500581663961713,30000.0,28000.0,28,589,stayers
1301500,15.0,78000.0,943.0,72700.0,871.0,39515.0,0.15038925459457403,35000.0,34550.0,24,476,stayers
1301600,20.0,65000.0,700.5,55000.0,650.0,34500.0,0.1518096646942801,32000.0,31000.0,46,604,stayers
1301700,15.0,66000.0,840.0,53000.0,830.0,30000.0,0.18779303675048356,28000.0,27250.0,59,653,stayers
1301800,20.0,55700.0,660.0,49900.0,597.5,30750.0,0.15759036144578314,30000.0,28000.0,53,675,stayers
1301900,20.0,60000.0,800.0,54400.0,758.0,35000.0,0.1702127659574468,34000.0,32000.0,23,514,stayers
1302100,30.0,90800.0,1100.0,83700.0,1187.0,43000.0,0.1592920353982301,40250.0,40000.0,17,563,stayers
1302200,20.0,60800.0,780.0,55000.0,755.0,32950.0,0.17476510067114095,30000.0,30000.0,23,425,stayers
1302300,20.0,73000.0,828.0,67800.0,820.0,38000.0,0.14527934556786704,36000.0,35000.0,20,366,stayers
1302400,25.0,106000.0,1293.0,101500.0,1421.0,55100.0,0.15778927324658837,50000.0,48700.0,17,454,stayers
1302500,20.0,61010.0,740.0,57000.0,753.0,35000.0,0.156,32000.0,31950.0,34,614,stayers
1302600,20.0,67000.0,690.0,62115.0,734.0,35000.0,0.14208588957055215,33800.0,32200.0,30,751,stayers
1302700,20.0,56400.0,720.0,53000.0,675.0,31200.0,0.1475,30000.0,30000.0,22,379,stayers
1302800,20.0,62200.0,703.0,57300.0,766.5,35000.0,0.1601731601731602,31200.0,29500.0,39,672,stayers
1302900,25.0,73600.0,880.5,66000.0,920.0,38000.0,0.16850393700787403,36000.0,35000.0,14,366,stayers
1303000,30.0,102000.0,1183.0,94300.0,1298.0,50000.0,0.1604033613445378,48000.0,45000.0,121,2876,stayers
1303100,30.0,87800.0,1260.0,82550.0,1238.0,48800.0,0.1742641577060932,46000.0,45000.0,27,787,stayers
1303200,20.0,64000.0,770.0,60000.0,694.5,35000.0,0.1568627450980392,32500.0,30000.0,18,467,stayers
1303300,30.0,123730.0,1366.0,120000.0,1704.0,60200.0,0.16351920981210133,60000.0,58000.0,33,1253,stayers
1303400,20.0,80000.0,910.0,77000.0,926.0,35000.0,0.14073529411764707,32000.0,30000.0,34,864,stayers
1303500,20.0,61000.0,671.0,56300.0,641.0,32900.0,0.14164948453608248,30000.0,30000.0,23,576,stayers
1303600,15.0,69300.0,848.0,52000.0,942.0,32000.0,0.20938775510204083,30000.0,28500.0,20,465,stayers
1303700,20.0,69000.0,793.0,61700.0,827.0,36000.0,0.16386206896551725,32000.0,30000.0,22,591,stayers
1303800,30.0,74200.0,896.0,70600.0,1007.0,37000.0,0.1591578947368421,35000.0,33800.0,29,792,stayers
1303900,30.0,71800.0,965.0,65900.0,973.0,39900.0,0.16592057761732854,35500.0,35000.0,13,517,stayers
