Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,TOT_POP,HH_MED_INC,HH_OCC,HU_OWN,HU_RENT,HH_MED_RENT,SE_T106_001,HU_OWN_M,SE_T106_003,SE_T106_004,SE_T106_005,SE_T106_006,SE_T106_007,SE_T106_008,SE_T106_009,SE_T106_010,SE_T106_011,SE_T106_012,SE_T106_013,SE_T106_014,HU_OWN_NOM,SE_T106_016,SE_T106_017,SE_T106_018,SE_T106_019,SE_T106_020,SE_T106_021,SE_T106_022,SE_T106_023,SE_T178_001,SE_T178_002,HH_OWN_M,HH_OWN_NOM
6059086407,Census Tract 864.07,"Census Tract 864.07, Orange County, California",0,6,59,86407,4719.000019,72547.38986,1981.000008,968.000004,1013.000004,1003.784422,433.0000018,413.0000017,0,0,6.000000025,27.00000011,31.00000013,76.00000031,50.00000021,39.00000016,15.00000006,23.00000009,37.00000015,109.0000004,20.00000008,0,0,5.000000021,0,15.00000006,0,0,0,421,133,1225.11,387.03
6059086501,Census Tract 865.01,"Census Tract 865.01, Orange County, California",0,6,59,86501,3017.741861,52428.20105,1097.503373,518.498404,579.0049695,765.2037766,452.0618221,258.8307195,0,6.012492026,30.2061183,26.10930518,17.09681315,12.03747607,11.05933709,20.04684509,34.06246014,29.07807515,52.07495219,21.0468451,193.2311026,15.02810706,61.05309118,76.08432125,20.04684509,17.00000003,4.000000008,0.018738022,0,460,81,1338.6,235.71
6059086502,Census Tract 865.02,"Census Tract 865.02, Orange County, California",0,6,59,86502,3699.226354,48581.50524,1318.078004,475.0484772,843.0295264,814.6656176,265.0412609,191.0368539,4.999999994,8.001652643,12.00523339,13.00600462,6.003305298,0.001707741,15.00209334,23.00220351,37.0012119,19.00374599,38.00385614,15.00583935,74.00440698,5.999999993,32.00060593,22.00148736,6.001101761,6.000330523,0.000605973,0,2.00027544,468,73,1361.88,212.43
6059086601,Census Tract 866.01,"Census Tract 866.01, Orange County, California",0,6,59,86601,7046.943812,52544.57168,2189.30542,676.3230796,1512.98234,878.675059,489.4004062,445.407397,0,16.90937511,71.94232174,71.74269712,32.46767447,24.31051352,5.699614937,41.17363419,30.80671297,86.86120449,55.7344614,7.759187077,43.99300918,0,15.59821584,13.6666607,14.63687988,0,0.091252755,0,0,396,86,1152.36,250.26
6059086602,Census Tract 866.02,"Census Tract 866.02, Orange County, California",0,6,59,86602,3629.000106,54778.24126,1491.000043,529.0000154,962.000028,1000.874902,481.000014,376.000011,0,7.000000204,30.00000087,38.00000111,19.00000055,52.00000151,37.00000108,20.00000058,41.00000119,47.00000137,33.00000096,52.00000151,105.0000031,0,34.00000099,34.00000099,24.0000007,7.000000204,6.000000175,0,0,412,88,1198.92,256.08
6059086701,Census Tract 867.01,"Census Tract 867.01, Orange County, California",0,6,59,86701,6021.864909,75010.56818,1979.396354,1267.707125,711.6892285,1012.512982,1039.544671,995.7186086,0,19.8033869,138.7351072,112.6399852,130.2874796,78.41533444,43.37022249,42.29962014,58.82928032,145.4070548,133.4506657,92.48047175,43.82606268,0,0,28.01600067,7.060418374,8.025893565,0.274988332,0.244779128,0.203982607,370,94,1076.7,273.54
6059086702,Census Tract 867.02,"Census Tract 867.02, Orange County, California",0,6,59,86702,5505.000004,60577.37762,2094.000001,738.0000005,1356.000001,957.2321007,494.0000003,451.0000003,0,35.00000002,66.00000004,33.00000002,56.00000004,26.00000002,25.00000002,11.00000001,12.00000001,80.00000005,89.00000006,18.00000001,43.00000003,0,6.000000004,17.00000001,12.00000001,0,0,8.000000005,0,369,97,1073.79,282.27
6059086801,Census Tract 868.01,"Census Tract 868.01, Orange County, California",0,6,59,86801,2847.46714,90255.12063,845.8417135,725.8641655,119.977548,1457.669552,629.8821271,622.8834368,0,25.9951354,15.9970064,38.99270311,24.9953225,107.9797932,79.98503201,27.9947612,12.9975677,74.98596751,182.9657607,29.994387,6.998690301,0,0,6.998690301,0,0,0,0,0,431,87,1254.21,253.17
6059086802,Census Tract 868.02,"Census Tract 868.02, Orange County, California",0,6,59,86802,4065.658326,68571.39336,1375.471374,709.149615,666.321759,974.6892211,660.3457791,587.6380237,5.975979902,43.82385261,63.74378562,79.67973202,17.9279397,26.89190956,26.89190956,48.80383586,32.86788946,82.66772197,94.61968178,63.74378562,72.70775547,0,10.95596315,42.82785596,11.9519598,6.971976552,0,0,0,429,89,1248.39,258.99
6059086803,Census Tract 868.03,"Census Tract 868.03, Orange County, California",0,6,59,86803,5116.999876,61194.78846,2157.999948,859.9999791,1297.999969,951.4130606,562.9999863,520.9999874,0,0,144.9999965,117.9999971,58.99999857,17.99999956,21.99999947,40.99999901,23.99999942,19.99999951,36.9999991,36.9999991,41.99999898,0,10.99999973,4.999999879,5.999999854,0,19.99999951,0,0,248,120,721.68,349.2
