puma,TOT_JOBS,JOBS_AGE_29,JOBS_AGE_30_54,JOBS_AGE_55,JOBS_EARN_1250,JOBS_EARN_1251_3333,JOBS_EARN_3334,AGR,EXT,UTL,CON,MFG,WHL,RET,TRN,INF,FIN,REL,PRF,MNG,ADM,EDU,MED,ENT,FOD,SRV,PUB,JOBS_EDU_NOHS,JOBS_EDU_HS,JOBS_EDU_NOBACH,JOBS_EDU_BACH
4703202,51061,12799,25922,12340,16524,17109,17428,3,0,122,1408,2037,1564,8758,1555,710,2458,1590,2214,1542,5042,5572,7701,824,6263,1673,25,4960,10996,12402,9904
4703203,38067,10496,20231,7340,10309,14596,13162,7,0,341,2931,862,3211,6577,982,811,738,700,1232,154,4767,1970,6693,391,3244,1275,1181,3897,8801,9210,5663
4703204,31083,9711,15547,5825,9146,11288,10649,88,0,168,1653,2866,2518,8087,837,283,497,321,1361,322,1835,646,3500,170,4966,741,224,3003,6795,7074,4500
4703205,30974,8335,16568,6071,8091,10800,12083,30,0,330,1821,1364,1685,4958,440,340,1063,718,1300,843,2809,1371,4361,608,3977,1080,1876,2781,6751,7562,5545
4703206,55051,14841,28478,11732,15053,17577,22421,43,0,0,1715,3331,1841,10303,2755,785,1186,470,5884,922,6651,2261,6321,946,6756,1608,1273,4951,11432,13235,10592
4703207,68259,16222,37342,14695,17172,21915,29172,8,0,187,766,4365,2211,5383,1818,626,6650,1836,4611,2317,13233,1521,14692,202,6261,1460,112,6271,14038,17383,14345
4703208,105011,21802,59449,23760,18381,37723,48907,10,15,175,3943,12706,14487,5389,40368,850,545,1744,2115,528,13406,843,2223,391,3069,2198,6,12095,27721,27633,15760
4800100,74867,16428,39921,18518,14153,26570,34144,9112,5105,723,4751,14049,3218,6607,2135,410,1613,472,1052,198,1247,7713,5722,671,4460,1793,3816,12924,17113,18176,10226
4800200,80080,20024,42363,17693,18388,30481,31211,360,368,806,3810,9125,3360,9934,2514,1025,3998,1348,2697,465,3467,8117,13573,795,8654,2613,3051,10363,16940,20434,12319
4800300,35498,10873,17217,7408,10205,12589,12704,316,133,417,2728,1577,1857,7042,1159,428,1170,555,1742,227,1501,3706,3272,545,4423,1288,1412,4002,7367,8302,4954
4800400,40351,8620,21225,10506,9259,15850,15242,4683,3448,518,1846,1757,1604,3907,2843,257,1146,286,609,146,1084,5331,4168,123,2841,1705,2049,7406,9673,9777,4875
4800501,75554,19692,39206,16656,20039,25634,29881,52,128,448,1152,1013,1723,7565,620,1254,2608,1103,1810,121,3160,21221,18118,978,7427,2011,3042,8238,14723,18792,14109
4800502,75679,22081,38085,15513,20442,29205,26032,992,351,570,6380,3879,5781,11017,3728,1920,3401,1063,3637,980,3606,4503,9348,1189,9608,2497,1229,10081,16362,17771,9384
4800600,44010,9250,23511,11249,10223,16214,17573,884,4367,634,2696,4439,1385,4676,1591,351,1160,531,1009,123,925,4922,8081,250,3198,1175,1613,5694,10865,11553,6648
4800700,50806,12325,25765,12716,13563,19219,18024,133,857,234,1928,4465,1407,6766,1156,553,1516,728,1262,68,2889,5229,11509,447,5609,1731,2319,5683,11857,12967,7974
4800800,65577,14981,34402,16194,15004,24385,26188,474,1757,565,3638,9522,1905,8212,1137,510,3056,612,1554,250,2204,7242,11884,736,6488,1487,2344,7257,14754,17398,11187
4800900,59649,14992,31402,13255,15650,19324,24675,133,121,431,3124,8785,1601,8475,1228,340,1067,552,2548,202,2128,9048,9675,613,6748,1610,1220,6619,12363,14469,11206
4801000,60574,13869,31947,14758,14992,24695,20887,718,231,833,2903,14401,2548,6589,2343,393,1920,376,963,81,2471,6338,9880,344,4462,1109,1671,8207,14517,15188,8793
4801100,49613,12226,26239,11148,14104,19027,16482,486,127,400,2149,2457,2429,7972,1955,353,1579,623,1112,496,1753,5524,9448,325,6127,1540,2758,5546,11721,12448,7672
4801200,28144,6050,15056,7038,6472,10441,11231,111,1410,722,2226,4637,1039,3004,643,456,1023,420,816,3,1065,3430,2410,99,2600,1003,1027,3520,7025,7208,4341
4801300,25667,5696,13308,6663,6765,10651,8251,1310,223,287,2034,2310,1144,3759,327,220,675,200,863,38,506,3912,2978,258,2775,666,1182,3295,6027,6583,4066
4801400,29129,7113,15104,6912,7122,11584,10423,46,51,249,2682,4423,1035,4300,1889,135,718,142,727,11,889,3042,4086,161,2982,845,716,3880,6583,7193,4360
4801501,22324,5240,11536,5548,6168,8512,7644,655,1134,130,1917,2346,1189,1935,1322,58,313,194,553,10,1036,1170,4953,174,2226,733,276,3220,5045,5617,3202
4801502,81167,21020,42160,17987,20597,29195,31375,117,903,266,2566,2981,4164,10767,3082,1570,3257,1008,3497,700,4732,7953,20765,901,7661,2616,1661,8968,16542,20648,13989
4801600,75963,17733,40176,18054,17705,26017,32241,46,3776,371,6131,8943,4024,8500,2219,756,1953,1063,3194,356,4250,6571,12421,621,6826,1722,2220,9539,17143,19721,11827
4801700,35611,7893,18663,9055,8496,14687,12428,1106,1671,570,3375,4913,1088,3340,1489,236,1314,205,682,96,2364,4208,5127,147,2019,634,1027,5152,8379,9075,5112
4801800,31249,7317,16155,7777,8024,13592,9633,394,499,384,1510,3562,779,4363,2745,317,665,397,845,32,977,3719,4824,315,3013,777,1132,4060,7229,7963,4680
4801901,131321,26905,76667,27749,21635,32820,76866,35,260,411,5286,11541,6664,11396,999,8251,15502,2906,13489,712,7377,16534,15985,1625,8191,3010,1147,11811,21218,31597,39790
4801902,103813,21459,64582,17772,15308,21529,66976,5,1023,120,1823,5759,3627,7677,431,6236,19791,3097,15852,8906,7150,845,10034,1035,8409,1982,11,8745,15371,23444,34794
4801903,22978,6449,11535,4994,7283,8681,7014,15,6,0,692,1202,497,5912,63,350,716,559,2475,52,2399,454,2619,408,3246,618,695,2892,4093,4955,4589
4801904,38487,11299,20190,6998,11253,11884,15350,13,31,103,1437,2752,1668,7401,183,701,1057,478,3860,22,2081,3588,4501,1329,5244,1149,889,3741,6358,8409,8680
4801905,48231,12408,26379,9444,12395,15908,19928,2,24,170,2378,3449,1596,7660,1105,420,3336,858,2254,342,2663,3996,6673,1290,5544,1516,2955,5150,9118,11442,10113
4801906,66415,18723,36958,10734,16105,19143,31167,78,136,20,4086,598,2729,10153,445,2182,3098,857,5706,1304,4281,10090,6776,2204,7695,1999,1978,6232,10671,14634,16155
4801907,24010,5711,13181,5118,5842,8465,9703,224,5,937,2447,2456,799,3138,206,212,358,267,846,37,1113,5456,1473,146,2148,830,912,2974,4700,5664,4961
4802001,29156,7590,16287,5279,6427,9073,13656,14,50,31,883,730,3845,5034,459,354,1107,631,3015,912,2710,753,4519,378,2993,738,0,3207,5155,6827,6377
4802002,51549,13237,28235,10077,11181,16884,23484,21,54,199,4526,3770,3382,9015,1584,1326,3368,1320,2653,1038,5043,306,5918,829,5221,1089,887,6468,9695,12175,9974
4802003,47031,12682,25301,9048,11490,14611,20930,54,21,59,2556,1249,3306,6308,1060,717,2358,528,3738,89,1937,8644,5023,872,5317,1794,1401,4625,8045,10861,10818
4802004,16817,5116,8948,2753,5415,5891,5511,0,1,36,515,201,539,3116,303,267,338,274,1241,2,1045,1950,1815,935,2862,859,518,1926,2826,3669,3280
4802005,54693,14914,28001,11778,13315,17282,24096,15,20,398,1250,6097,1285,7087,1252,423,1225,750,2304,167,1854,12175,7461,294,7144,1214,2278,5240,10592,12547,11400
4802006,38918,9569,21713,7636,8321,13060,17537,306,214,593,4074,3746,1578,1986,7183,191,371,333,2059,932,1594,4947,3107,619,3366,881,838,4695,7877,9477,7300
4802101,48253,12091,25445,10717,11042,17167,20044,105,54,229,3429,10377,1647,6374,3491,439,863,396,1260,121,2351,5769,4213,346,4413,1221,1155,6774,10998,11491,6899
4802102,45732,10826,24786,10120,10114,16515,19103,791,1300,269,4466,6335,1807,5727,2991,458,800,475,1030,59,1886,6395,4479,396,3792,1303,973,6506,10468,11156,6776
4802200,41273,11067,20524,9682,11520,15218,14535,1051,2069,1154,2559,3221,1058,5148,731,240,880,700,1226,51,1553,6344,5375,676,4845,1272,1120,4981,8843,9794,6588
4802301,17302,5406,8370,3526,5404,6813,5085,8,23,199,1899,1155,937,4350,219,110,326,137,745,7,686,312,1958,229,2891,571,540,2438,3261,3705,2492
4802302,65980,13468,36636,15876,15174,22939,27867,23,115,0,7793,9847,6968,6825,1913,385,643,1628,1462,286,4396,10601,8000,285,3511,1295,4,10994,14043,15715,11760
4802303,36928,9486,19135,8307,11975,11897,13056,9,4,83,3463,1375,665,7253,946,321,596,356,706,5,1480,6279,7776,446,3336,642,1187,5373,7340,8777,5952
4802304,17307,4248,9539,3520,3950,6835,6522,146,103,26,1256,2556,961,1709,4852,231,168,233,117,12,714,677,602,126,1128,574,1116,2839,3857,3927,2436
4802305,38551,10572,20538,7441,10230,14950,13371,5,188,0,3026,3698,3566,6284,6872,774,583,576,1360,80,1792,440,3773,552,4048,884,50,6388,8387,8552,4652
